ID,Name,Longitude_WGS84,Latitude_WGS84,Street,AdmArea,District,RouteNumbers,StationName,Direction,Pavilion,OperatingOrgName,EntryState,global_id,geoData
65,"«Бескудниково», Дмитровское шоссе (от центра)",37.54811496,55.87427208,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А763К; А763; АТ78,Бескудниково,от центра,да,ГУП «Мосгортранс»,активна,1715951,"{type=Point, coordinates=[37.54811496, 55.87427208]}"
66,"«Баскетбольная школа», Дубнинская улица (от центра)",37.55775278,55.88068293,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Баскетбольная школа,от центра,да,ГУП «Мосгортранс»,активна,1715952,"{type=Point, coordinates=[37.55775278, 55.88068293]}"
67,"«Д/к Юность», Дубнинская улица (от центра)",37.5577084088,55.8843275315,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Д/к Юность,от центра,да,ГУП «Мосгортранс»,активна,1715953,"{type=Point, coordinates=[37.5577084088, 55.8843275315]}"
68,"«Мкр. Дубки», Дубнинская улица (от центра)",37.5576739643,55.8881514089,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Мкр. Дубки,от центра,да,ГУП «Мосгортранс»,активна,1715954,"{type=Point, coordinates=[37.5576739643, 55.8881514089]}"
69,"«Ин-т Стали», Дубнинская улица (от центра)",37.55762874,55.89221605,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Ин-т Стали,от центра,да,ГУП «Мосгортранс»,активна,1715955,"{type=Point, coordinates=[37.55762874, 55.89221605]}"
70,"«Керамический пр.», Дубнинская улица (от центра)",37.5575677861,55.8935280894,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Керамический пр.,от центра,да,ГУП «Мосгортранс»,активна,1715956,"{type=Point, coordinates=[37.5575677861, 55.8935280894]}"
71,"«Платф. Лианозово (выс.)», Дубнинская улица (от центра)",37.55445131,55.89652393,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Платф. Лианозово (выс.),от центра,нет,,активна,1715957,"{type=Point, coordinates=[37.55445131, 55.89652393]}"
72,"«Ст. Ховрино (пос.)», Ангарская улица (в центр)",37.51160056,55.86956661,Ангарская улица,Северный административный округ,район Западное Дегунино,А665; А748; А215К; А154; А928,Ст. Ховрино (пос.),в центр,да,ГУП «Мосгортранс»,активна,1715958,"{type=Point, coordinates=[37.51160056, 55.86956661]}"
73,"«Весенняя ул.», Ангарская улица (от центра)",37.51459808,55.87376954,Ангарская улица,Северный административный округ,район Западное Дегунино,А665; А928,Весенняя ул.,от центра,да,ГУП «Мосгортранс»,активна,1715959,"{type=Point, coordinates=[37.51459808, 55.87376954]}"
74,"«Мкр. Западное Дегунино», Ангарская улица (от центра)",37.5174212,55.87606574,Ангарская улица,Северный административный округ,район Западное Дегунино,А665; А928,Мкр. Западное Дегунино,от центра,да,ГУП «Мосгортранс»,активна,1715960,"{type=Point, coordinates=[37.5174212, 55.87606574]}"
